md,mt,sat,temp,I,CUE,beta,tmb,Cg0b,Cg0m,qx,Vmax_p,Vmax_m,Km_p,Km_m,kp,kb,km,y0_Cp,y0_Cb,y0_Cm
linear,linear,no,steady,0.01967,0.01164,0.0,0.00722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00422,0.0038,0.00422,,,
linear,linear,no,dynamic,0.01189,0.24958,0.0,0.02091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05616,0.04194,0.08584,0.43208,0.0072,0.11813
linear,linear,Langmuir,steady,0.03006,0.02833,0.0,0.0,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,0.00422,0.00518,0.00963,,,
linear,linear,Langmuir,dynamic,0.01177,0.24476,0.0,0.0,0.0,0.01475,0.0,0.0,0.0,0.0,0.0,0.06392,0.04797,0.07407,0.44434,0.008,0.13953
linear,density_dependent,no,steady,0.01805,0.0101,0.00147,0.00673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00422,0.00293,0.00422,,,
linear,density_dependent,no,dynamic,0.0113,0.22458,0.02725,0.02561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06279,0.01778,0.10191,0.46616,0.0093,0.12771
linear,density_dependent,Langmuir,steady,0.02733,0.02479,0.00161,0.0,0.0,0.00081,0.0,0.0,0.0,0.0,0.0,0.00422,0.00365,0.00987,,,
linear,density_dependent,Langmuir,dynamic,0.01099,0.21257,0.03232,0.0,0.0,0.01991,0.0,0.0,0.0,0.0,0.0,0.07715,0.02072,0.08548,0.49092,0.01066,0.15682
MM,linear,no,steady,0.00434,0.02893,0.0,0.01988,0.0,0.0,0.0,0.02251,0.01964,0.02682,0.02452,0.0,0.06932,0.0,,,
MM,linear,no,dynamic,0.00811,0.20028,0.0,0.02029,0.0,0.0,0.0,0.04934,0.04975,0.02954,0.04307,0.0,0.1043,0.0,0.67127,0.02998,0.24825
MM,linear,Langmuir,steady,0.00545,0.03469,0.0,0.0,0.0,0.00397,0.0,0.01841,0.03241,0.02187,0.03985,0.0,0.07243,0.0,,,
MM,linear,Langmuir,dynamic,0.00879,0.20065,0.0,0.0,0.0,0.00769,0.0,0.05469,0.06788,0.02902,0.05721,0.0,0.1019,0.0,0.67322,0.03277,0.24799
MM,density_dependent,no,steady,0.02589,0.02173,0.01783,0.01774,0.0,0.0,0.0,0.01879,0.01719,0.02181,0.02068,0.0,0.0401,0.0,,,
MM,density_dependent,no,dynamic,0.00884,0.12801,0.14043,0.02651,0.0,0.0,0.0,0.0692,0.07896,0.04623,0.06683,0.0,0.08313,0.0,0.66207,0.02479,0.23083
MM,density_dependent,Langmuir,steady,0.01414,0.01789,0.00675,0.0,0.0,0.04367,0.0,0.01601,0.0,0.0187,0.0,0.0,0.01511,0.0,,,
MM,density_dependent,Langmuir,dynamic,0.00904,0.12443,0.13972,0.0,0.0,0.01306,0.0,0.07823,0.08449,0.05054,0.07554,0.0,0.08253,0.0,0.67018,0.02594,0.24279
RMM,linear,no,steady,0.00439,0.02864,0.0,0.01971,0.0,0.0,0.0,0.02235,0.01962,0.02673,0.0245,0.0,0.06856,0.0,,,
RMM,linear,no,dynamic,0.00806,0.19823,0.0,0.01929,0.0,0.0,0.0,0.04365,0.04437,0.02802,0.0402,0.0,0.10204,0.0,0.67005,0.02803,0.24542
RMM,linear,Langmuir,steady,0.00553,0.03476,0.0,0.0,0.0,0.04702,0.0,0.01824,0.0,0.02175,0.0,0.0,0.02877,0.0,,,
RMM,linear,Langmuir,dynamic,0.0087,0.19716,0.0,0.0,0.0,0.00727,0.0,0.04671,0.06341,0.02675,0.05506,0.0,0.10004,0.0,0.67277,0.03022,0.2453
RMM,density_dependent,no,steady,0.02571,0.02154,0.01767,0.01762,0.0,0.0,0.0,0.01876,0.01717,0.0218,0.02067,0.0,0.03973,0.0,,,
RMM,density_dependent,no,dynamic,0.00891,0.1295,0.13445,0.02473,0.0,0.0,0.0,0.06647,0.07399,0.04581,0.06361,0.0,0.07982,0.0,0.66468,0.02444,0.22819
RMM,density_dependent,Langmuir,steady,0.0141,0.01783,0.00672,0.0,0.0,0.04363,0.0,0.016,0.0,0.0187,0.0,0.0,0.01501,0.0,,,
RMM,density_dependent,Langmuir,dynamic,0.00911,0.12622,0.1347,0.0,0.0,0.01211,0.0,0.07456,0.08086,0.04992,0.07302,0.0,0.07979,0.0,0.67273,0.02557,0.24032
